store_nbr,family,date,sales,onpromotion
1,AUTOMOTIVE,2013-01-02,2.0,0
1,AUTOMOTIVE,2013-01-03,3.0,0
1,AUTOMOTIVE,2013-01-04,3.0,0
1,AUTOMOTIVE,2013-01-05,5.0,0
1,AUTOMOTIVE,2013-01-06,2.0,0
1,SEAFOOD,2013-01-02,38.029,0
1,SEAFOOD,2013-01-03,17.366001,0
1,SEAFOOD,2013-01-04,29.907001,0
1,SEAFOOD,2013-01-05,24.842,0
1,SEAFOOD,2013-01-06,5.0,0
2,AUTOMOTIVE,2013-01-02,8.0,0
2,AUTOMOTIVE,2013-01-03,5.0,0
2,AUTOMOTIVE,2013-01-04,3.0,0
2,AUTOMOTIVE,2013-01-05,5.0,0
2,AUTOMOTIVE,2013-01-06,6.0,0
2,SEAFOOD,2013-01-02,31.373001,0
2,SEAFOOD,2013-01-03,34.343,0
2,SEAFOOD,2013-01-04,49.833,0
2,SEAFOOD,2013-01-05,43.962,0
2,SEAFOOD,2013-01-06,23.259,0
3,AUTOMOTIVE,2013-01-02,10.0,0
3,AUTOMOTIVE,2013-01-03,7.0,0
3,AUTOMOTIVE,2013-01-04,3.0,0
3,AUTOMOTIVE,2013-01-05,12.0,0
3,AUTOMOTIVE,2013-01-06,13.0,0
3,SEAFOOD,2013-01-02,169.064,0
3,SEAFOOD,2013-01-03,98.050995,0
3,SEAFOOD,2013-01-04,115.216995,0
3,SEAFOOD,2013-01-05,108.505005,0
3,SEAFOOD,2013-01-06,128.053,0
